# B				1/Tp         Fehler
# mT				mHz        mHz

0.6780460637				48.4183344093       3.10
1.3560921274				84.913671101        2.32
2.0341381912				130.3214596003      3.74
2.7121842549				164.56390565        1.94
2.9834026804				173.3102253033      2.25
3.3902303186				213.6752136752      3.43
4.0682763823				233.2814930016      2.92
4.7463224461				300.9027081244      3.96
5.1531500843				292.3976608187      1.48
5.4243685098				314.465408805       0.99
