# p	N	Channel
# mbar - -		
0	113475	1131
50	109025	1094
100	111614	1086
150	111548	1056
200	108798	1022
250	109419	1000
300	106614	964
350	108277	953
400	107098	929
450	105803	893
500	105266	871
550	103354	833
600	102169	807
650	101256	786
700	99909	761
750	98402	718
800	95224	683
850	95745	666
900	93222	642
950	91206	614
