#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 (°C)
80	38.80	41.74	40.79	37.54	43.33	44.82	38.17	28.52
81	38.90	41.83	40.86	37.62	43.39	44.88	38.24	28.61
82	39.00	41.92	40.93	37.70	43.47	44.95	38.31	28.70
83	39.10	42.00	41.00	37.78	43.53	45.01	38.38	28.79
84	39.20	42.09	41.08	37.85	43.60	45.08	38.46	28.88
85	39.29	42.17	41.15	37.93	43.67	45.14	38.53	28.97
86	39.38	42.25	41.21	38.01	43.74	45.21	38.60	29.07
87	39.48	42.34	41.29	38.08	43.81	45.27	38.67	29.15
88	39.57	42.42	41.36	38.16	43.87	45.34	38.74	29.23
89	39.65	42.50	41.42	38.23	43.94	45.40	38.81	29.32
90	39.75	42.59	41.50	38.31	44.01	45.46	38.87	29.41
91	39.84	42.67	41.56	38.38	44.07	45.52	38.94	29.49
92	39.92	42.75	41.63	38.45	44.14	45.59	39.01	29.58
93	40.01	42.82	41.69	38.52	44.20	45.65	39.08	29.66
94	40.09	42.90	41.76	38.59	44.27	45.71	39.15	29.75
95	40.17	42.97	41.82	38.66	44.33	45.77	39.21	29.82
96	40.26	43.05	41.88	38.72	44.39	45.83	39.27	29.90
97	40.34	43.12	41.95	38.79	44.45	45.89	39.35	29.99
98	40.41	43.20	42.01	38.86	44.51	45.96	39.41	30.07
99	40.50	43.27	42.08	38.93	44.58	46.02	39.48	30.15
100	40.57	43.34	42.14	39.00	44.64	46.07	39.55	30.23
101	40.65	43.42	42.20	39.06	44.71	46.14	39.61	30.31
102	40.73	43.49	42.27	39.13	44.76	46.20	39.67	30.39
103	40.81	43.56	42.33	39.20	44.83	46.26	39.74	30.47
104	40.88	43.63	42.39	39.26	44.89	46.32	39.81	30.54
105	40.96	43.70	42.45	39.33	44.95	46.38	39.87	30.62
106	41.03	43.77	42.51	39.39	45.01	46.44	39.94	30.70
107	41.10	43.83	42.57	39.45	45.07	46.50	40.00	30.78
108	41.17	43.90	42.63	39.52	45.12	46.55	40.07	30.85
109	41.24	43.98	42.70	39.58	45.18	46.61	40.13	30.92
110	41.32	44.04	42.76	39.65	45.24	46.67	40.19	31.00
111	41.39	44.11	42.82	39.71	45.30	46.72	40.26	31.07
112	41.45	44.17	42.87	39.77	45.36	46.78	40.32	31.15
113	41.52	44.23	42.93	39.83	45.42	46.83	40.38	31.22
114	41.59	44.30	42.99	39.89	45.47	46.89	40.44	31.29
115	41.66	44.36	43.05	39.95	45.53	46.95	40.50	31.36
116	41.73	44.42	43.10	40.01	45.59	47.01	40.56	31.44
117	41.78	44.49	43.16	40.07	45.64	47.06	40.63	31.51
118	41.85	44.55	43.22	40.11	45.69	47.11	40.68	31.58
119	41.92	44.62	43.28	40.18	45.75	47.16	40.74	31.65
120	41.98	44.68	43.34	40.24	45.80	47.22	40.81	31.72
121	42.05	44.73	43.39	40.29	45.86	47.27	40.86	31.79
122	42.11	44.80	43.45	40.35	45.91	47.33	40.92	31.85
123	42.17	44.86	43.50	40.41	45.97	47.38	40.99	31.93
124	42.23	44.92	43.56	40.47	46.02	47.44	41.05	32.00
125	42.30	44.98	43.61	40.53	46.08	47.49	41.10	32.06
126	42.36	45.04	43.66	40.58	46.12	47.55	41.16	32.13
127	42.42	45.10	43.71	40.62	46.18	47.60	41.21	32.19
128	42.48	45.15	43.77	40.68	46.23	47.65	41.27	32.26
129	42.54	45.21	43.83	40.74	46.27	47.67	41.33	32.33
130	42.60	45.27	43.88	40.79	46.33	47.74	41.39	32.40
131	42.66	45.33	43.93	40.84	46.38	47.80	41.45	32.46
132	42.72	45.38	43.98	40.90	46.44	47.84	41.51	32.53
133	42.77	45.44	44.03	40.95	46.49	47.90	41.56	32.59
134	42.83	45.49	44.09	41.01	46.54	47.95	41.62	32.66
135	42.89	45.55	44.14	41.06	46.59	48.00	41.68	32.72
136	42.94	45.60	44.19	41.11	46.64	48.06	41.74	32.78
137	43.00	45.66	44.24	41.17	46.69	48.11	41.80	32.85
