# t	N
# s -

18	602
36	507
54	371
72	297
90	232
108	201
126	172
144	115
162	122
180	87
198	79
216	57
234	74
252	57
270	55
288	46
306	50
324	40 #
342	48
360	32
378	40
396	34
414	31
432	16
450	26
468	38 #
486	25
504	34
522	34
540	25
558	20
576	23
594	17
612	15
630	24
648	14
666	18
684	22
702	19
720	18
738	20
756	17
774	17
