# x D0 Dm
# cm mm mm


3		0		0.15
5		0.01		0.21
7		0.03		0.38
9		0.08		0.61
11		0.14		0.92
13		0.16		1.18
15		0.27		1.59
17		0.42		2.07
19		0.41		2.62
21		0.54		2.94
23		0.61		3.45
25		0.76		4.05
27		0.91		4.77
29		1.09		5.33
31		1.26		6
33		1.36		7.01
35		1.59		7.54
37		1.87		8.25
39		2.05		9.06
41		2.24		9.79
