# U	N	I
# V		μA

300	0	0.1
310	0	0.2
320	16578	0.2
330	17302	0.3
340	17297	0.4
350	17315	0.4
360	17200	0.5
370	17472	0.6
380	17705	0.6
390	17508	0.7
400	17546	0.8
410	17703	0.8
420	17650	0.9
430	17505	1.0
440	17626	1.1
450	17762	1.1
460	17899	1.2
470	17606	1.2
480	17930	1.2
490	17726	1.3
500	17731	1.4
510	18010	1.5
520	17888	1.5
530	17930	1.6
540	17837	1.6
550	17734	1.7
560	17771	1.8
570	18004	1.9
580	17788	1.9
590	17985	2.0
600	17794	2.0
610	18009	2.1
620	17995	2.2
630	18085	2.2
640	18124	2.3
650	18279	2.4
660	18603	2.5
670	19063	2.5
680	19189	2.6
690	19700	2.6
700	20462	2.8
